Date,Open,High,Low,Close,Change (Pips),Change (%)
"Jul 15, 2018 21:00",1.16897,1.16912,1.168,1.16853,-4.4,-0.04%
"Jul 13, 2018 20:00",1.16811,1.16867,1.1681,1.1686,4.9,0.0004
"Jul 13, 2018 19:00",1.1677,1.16841,1.16758,1.16811,4.1,0.0004
"Jul 13, 2018 18:00",1.16758,1.16829,1.16741,1.16769,1.1,0.0001
"Jul 13, 2018 17:00",1.16733,1.16754,1.16658,1.16754,2.1,0.0002
"Jul 13, 2018 16:00",1.16666,1.16776,1.16653,1.16735,6.9,0.0006
"Jul 13, 2018 15:00",1.16671,1.16732,1.16592,1.16668,-0.3,0
"Jul 13, 2018 14:00",1.16409,1.16689,1.16395,1.16665,25.6,0.0022
"Jul 13, 2018 13:00",1.16446,1.1648,1.16371,1.1641,-3.6,-0.03%
"Jul 13, 2018 12:00",1.16265,1.16469,1.16255,1.16451,18.6,0.0016
"Jul 13, 2018 11:00",1.16243,1.16343,1.16186,1.16262,1.9,0.0002
"Jul 13, 2018 10:00",1.16349,1.16374,1.16211,1.1624,-10.9,-0.09%
"Jul 13, 2018 9:00",1.1627,1.16375,1.16159,1.16348,7.8,0.0007
"Jul 13, 2018 8:00",1.16307,1.16364,1.1613,1.16271,-3.6,-0.03%
"Jul 13, 2018 7:00",1.16456,1.16504,1.1625,1.1631,-14.6,-0.13%
"Jul 13, 2018 6:00",1.16636,1.16636,1.16423,1.16458,-17.8,-0.15%
"Jul 13, 2018 5:00",1.16572,1.16637,1.16546,1.16636,6.4,0.0005
"Jul 13, 2018 4:00",1.16617,1.1666,1.16571,1.16572,-4.5,-0.04%
"Jul 13, 2018 3:00",1.16692,1.16692,1.16604,1.16613,-7.9,-0.07%
"Jul 13, 2018 2:00",1.16687,1.1674,1.16659,1.16695,0.8,0.0001
"Jul 13, 2018 1:00",1.16669,1.16752,1.16643,1.1669,2.1,0.0002
"Jul 13, 2018 0:00",1.16639,1.16698,1.16609,1.16668,2.9,0.0002
"Jul 12, 2018 23:00",1.16639,1.16647,1.16589,1.16644,0.5,0
"Jul 12, 2018 22:00",1.16691,1.16693,1.16553,1.1664,-5.1,-0.04%
"Jul 12, 2018 21:00",1.167,1.16715,1.16661,1.16691,-0.9,-0.01%
"Jul 12, 2018 20:00",1.16741,1.16749,1.16695,1.16703,-3.8,-0.03%
"Jul 12, 2018 19:00",1.16702,1.16754,1.16663,1.16739,3.7,0.0003
"Jul 12, 2018 18:00",1.16761,1.16777,1.16691,1.16703,-5.8,-0.05%
"Jul 12, 2018 17:00",1.1682,1.16866,1.16695,1.16759,-6.1,-0.05%
"Jul 12, 2018 16:00",1.1691,1.16929,1.16811,1.16823,-8.7,-0.07%
"Jul 12, 2018 15:00",1.1684,1.16956,1.16783,1.16907,6.7,0.0006
"Jul 12, 2018 14:00",1.16726,1.16855,1.16687,1.16837,11.1,0.001
"Jul 12, 2018 13:00",1.16713,1.16808,1.16665,1.16726,1.3,0.0001
"Jul 12, 2018 12:00",1.16529,1.16879,1.16529,1.16715,18.6,0.0016
"Jul 12, 2018 11:00",1.16613,1.16642,1.16497,1.16531,-8.2,-0.07%
"Jul 12, 2018 10:00",1.1677,1.16809,1.16605,1.16613,-15.7,-0.13%
"Jul 12, 2018 9:00",1.16742,1.16831,1.16689,1.16769,2.7,0.0002
"Jul 12, 2018 8:00",1.16845,1.16923,1.16724,1.1674,-10.5,-0.09%
"Jul 12, 2018 7:00",1.16844,1.1693,1.16737,1.16847,0.3,0
"Jul 12, 2018 6:00",1.16783,1.16868,1.16714,1.16848,6.5,0.0006
"Jul 12, 2018 5:00",1.16827,1.16863,1.16779,1.16784,-4.3,-0.04%
"Jul 12, 2018 4:00",1.16759,1.16835,1.16754,1.16823,6.4,0.0005
"Jul 12, 2018 3:00",1.16721,1.16771,1.16708,1.1676,3.9,0.0003
"Jul 12, 2018 2:00",1.16751,1.16799,1.16722,1.16726,-2.5,-0.02%
"Jul 12, 2018 1:00",1.16726,1.16802,1.1672,1.16747,2.1,0.0002
"Jul 12, 2018 0:00",1.16751,1.16784,1.16699,1.16726,-2.5,-0.02%
"Jul 11, 2018 23:00",1.1676,1.16779,1.16722,1.1675,-1,-0.01%
"Jul 11, 2018 22:00",1.16735,1.16764,1.16723,1.16755,2,0.0002
"Jul 11, 2018 21:00",1.16717,1.16779,1.16702,1.16739,2.2,0.0002
"Jul 11, 2018 20:00",1.16696,1.16765,1.16696,1.16743,4.7,0.0004
"Jul 11, 2018 19:00",1.1674,1.16778,1.16679,1.16694,-4.6,-0.04%
"Jul 11, 2018 18:00",1.16734,1.16825,1.1665,1.16738,0.4,0
"Jul 11, 2018 17:00",1.16991,1.16995,1.16672,1.16732,-25.9,-0.22%
"Jul 11, 2018 16:00",1.17222,1.1727,1.1697,1.16995,-22.7,-0.19%
"Jul 11, 2018 15:00",1.17216,1.17279,1.17098,1.17221,0.5,0
"Jul 11, 2018 14:00",1.17466,1.17501,1.17183,1.17219,-24.7,-0.21%
"Jul 11, 2018 13:00",1.17519,1.17582,1.1744,1.17463,-5.6,-0.05%
"Jul 11, 2018 12:00",1.17063,1.17544,1.17008,1.17516,45.3,0.0039
