,ask,bid,change,contractSize,contractSymbol,currency,expiration,impliedVolatility,inTheMoney,lastPrice,lastTradeDate,openInterest,percentChange,strike,type,volume,dte,human_time
0,14.65,11.75,0.0,REGULAR,USO180720C00001000,USD,1532044800,26.750001640625,True,13.8,1530214447,4,0.0,1.0,call,2,0,2018-07-19 17:00:00
1,11.2,11.1,0.0,REGULAR,USO180720C00003000,USD,1532044800,0.500005,True,12.0,1531244211,1,0.0,3.0,call,1,0,2018-07-19 17:00:00
2,8.2,8.1,0.0,REGULAR,USO180720C00006000,USD,1532044800,0.500005,True,7.45,1528986860,3,0.0,6.0,call,3,0,2018-07-19 17:00:00
3,6.2,6.1,0.0,REGULAR,USO180720C00008000,USD,1532044800,0.500005,True,6.02,1531756140,4,0.0,8.0,call,1,0,2018-07-19 17:00:00
4,5.2,5.1,0.0,REGULAR,USO180720C00009000,USD,1532044800,0.500005,True,4.79,1527694460,11,0.0,9.0,call,10,0,2018-07-19 17:00:00
5,4.2,4.1,0.0,REGULAR,USO180720C00010000,USD,1532044800,0.500005,True,4.12,1532027691,60,0.0,10.0,call,20,0,2018-07-19 17:00:00
6,3.2,3.1,0.20000005,REGULAR,USO180720C00011000,USD,1532044800,0.500005,True,3.14,1532101715,921,6.802723,11.0,call,35,0,2018-07-19 17:00:00
7,2.67,2.63,0.0,REGULAR,USO180720C00011500,USD,1532044800,0.500005,True,3.49,1531148540,1500,0.0,11.5,call,20,0,2018-07-19 17:00:00
8,2.21,2.1,0.06999993,REGULAR,USO180720C00012000,USD,1532044800,1.4375028125,True,2.2,1532110419,20862,3.2863816999999997,12.0,call,612,0,2018-07-19 17:00:00
9,1.6600000000000001,1.63,0.0,REGULAR,USO180720C00012500,USD,1532044800,1.250003749999999,True,1.65,1532022206,326,0.0,12.5,call,26,0,2018-07-19 17:00:00
10,1.16,1.13,0.00999999,REGULAR,USO180720C00013000,USD,1532044800,0.9062509375000001,True,1.15,1532116779,60543,0.87719214,13.0,call,3601,0,2018-07-19 17:00:00
11,0.66,0.63,0.0,REGULAR,USO180720C00013500,USD,1532044800,0.5625043750000001,True,0.63,1532116771,16886,0.0,13.5,call,191,0,2018-07-19 17:00:00
12,0.15,0.14,-0.00999999,REGULAR,USO180720C00014000,USD,1532044800,0.062509375,True,0.15,1532116759,52810,-6.2499943,14.0,call,7674,0,2018-07-19 17:00:00
13,0.01,0.0,0.0,REGULAR,USO180720C00014500,USD,1532044800,0.34375656250000003,False,0.01,1532113483,35202,0.0,14.5,call,10291,0,2018-07-19 17:00:00
14,0.01,0.0,0.0,REGULAR,USO180720C00015000,USD,1532044800,0.5937540625000001,False,0.01,1532116603,92366,0.0,15.0,call,47,0,2018-07-19 17:00:00
15,0.01,0.01,0.0,REGULAR,USO180720C00015500,USD,1532044800,0.9687503125,False,0.01,1531767669,18633,0.0,15.5,call,33,0,2018-07-19 17:00:00
16,0.01,0.0,0.0,REGULAR,USO180720C00016000,USD,1532044800,1.125004375,False,0.01,1532113862,17245,0.0,16.0,call,15,0,2018-07-19 17:00:00
17,0.01,0.0,0.0,REGULAR,USO180720C00016500,USD,1532044800,1.312503437499999,False,0.01,1531230855,2754,0.0,16.5,call,2,0,2018-07-19 17:00:00
18,0.01,0.0,0.0,REGULAR,USO180720C00017000,USD,1532044800,1.562502187499999,False,0.01,1531417213,1231,0.0,17.0,call,3,0,2018-07-19 17:00:00
19,0.01,0.01,0.0,REGULAR,USO180720C00018000,USD,1532044800,2.125004687499999,False,0.01,1530818638,10158,0.0,18.0,call,100,0,2018-07-19 17:00:00
20,0.02,0.01,0.0,REGULAR,USO180720C00018500,USD,1532044800,2.50000375,False,0.02,1530198219,2,0.0,18.5,call,2,0,2018-07-19 17:00:00
21,0.01,0.01,0.0,REGULAR,USO180720C00019000,USD,1532044800,2.50000375,False,0.01,1531751154,10249,0.0,19.0,call,3,0,2018-07-19 17:00:00
22,0.02,0.0,0.0,REGULAR,USO180720C00019500,USD,1532044800,2.750003125,False,0.01,1530541532,15,0.0,19.5,call,15,0,2018-07-19 17:00:00
23,0.01,0.02,0.0,REGULAR,USO180720C00020000,USD,1532044800,3.06250234375,False,0.02,1526563800,3023,0.0,20.0,call,500,0,2018-07-19 17:00:00
24,0.01,0.01,0.0,REGULAR,USO180720C00021000,USD,1532044800,3.250001874999999,False,0.01,1528119100,3392,0.0,21.0,call,376,0,2018-07-19 17:00:00
25,0.01,0.0,0.0,REGULAR,USO180720C00022000,USD,1532044800,3.250001874999999,False,0.01,1530283229,1,0.0,22.0,call,1,0,2018-07-19 17:00:00
26,0.03,0.0,0.0,REGULAR,USO180720P00005000,USD,1532044800,8.75000453125,False,0.03,1508557939,10,0.0,5.0,put,10,0,2018-07-19 17:00:00
27,0.01,0.0,0.0,REGULAR,USO180720P00006000,USD,1532044800,6.500001875000001,False,0.01,1523468774,126,0.0,6.0,put,80,0,2018-07-19 17:00:00
28,0.01,0.0,0.0,REGULAR,USO180720P00007000,USD,1532044800,5.250003437499999,False,0.01,1517861216,1081,0.0,7.0,put,10,0,2018-07-19 17:00:00
29,0.01,0.01,0.0,REGULAR,USO180720P00008000,USD,1532044800,4.750004062499999,False,0.01,1529333893,161,0.0,8.0,put,10,0,2018-07-19 17:00:00
30,0.01,0.0,0.0,REGULAR,USO180720P00009000,USD,1532044800,3.50000125,False,0.01,1531751154,8090,0.0,9.0,put,3,0,2018-07-19 17:00:00
31,0.01,0.0,0.0,REGULAR,USO180720P00010000,USD,1532044800,2.750003125,False,0.01,1531333000,9861,0.0,10.0,put,10,0,2018-07-19 17:00:00
32,0.05,0.0,0.0,REGULAR,USO180720P00010500,USD,1532044800,3.093752265624999,False,0.01,1529418960,5,0.0,10.5,put,5,0,2018-07-19 17:00:00
33,0.01,0.01,0.0,REGULAR,USO180720P00011000,USD,1532044800,2.312504218749999,False,0.02,1531834228,18118,0.0,11.0,put,1,0,2018-07-19 17:00:00
34,0.01,0.0,0.0,REGULAR,USO180720P00011500,USD,1532044800,1.75000125,False,0.01,1532015370,443,0.0,11.5,put,8,0,2018-07-19 17:00:00
35,0.01,0.0,0.0,REGULAR,USO180720P00012000,USD,1532044800,1.4375028125,False,0.01,1532110803,74150,0.0,12.0,put,10,0,2018-07-19 17:00:00
36,0.01,0.0,0.0,REGULAR,USO180720P00012500,USD,1532044800,1.125004375,False,0.01,1532030219,11849,0.0,12.5,put,58,0,2018-07-19 17:00:00
37,0.01,0.0,0.0,REGULAR,USO180720P00013000,USD,1532044800,0.812501874999999,False,0.01,1532102705,79694,0.0,13.0,put,6,0,2018-07-19 17:00:00
38,0.01,0.0,0.0,REGULAR,USO180720P00013500,USD,1532044800,0.500005,False,0.01,1532018402,27596,0.0,13.5,put,1042,0,2018-07-19 17:00:00
39,0.01,0.0,-0.03,REGULAR,USO180720P00014000,USD,1532044800,0.18750812500000003,False,0.01,1532116768,44113,-75.0,14.0,put,2013,0,2018-07-19 17:00:00
40,0.37,0.34,-0.01999998,REGULAR,USO180720P00014500,USD,1532044800,0.414068359375,True,0.36,1532116780,19240,-5.263153,14.5,put,2206,0,2018-07-19 17:00:00
41,0.87,0.84,-0.040000020000000004,REGULAR,USO180720P00015000,USD,1532044800,0.5937540625000001,True,0.84,1532116105,87244,-4.545457,15.0,put,1438,0,2018-07-19 17:00:00
42,1.37,1.34,-0.049999952,REGULAR,USO180720P00015500,USD,1532044800,0.8750012500000001,True,1.3599999999999999,1532116105,1033,-3.546096,15.5,put,16,0,2018-07-19 17:00:00
43,1.8599999999999999,1.8399999999999999,0.049999952,REGULAR,USO180720P00016000,USD,1532044800,0.500005,True,1.8,1532109739,912,2.8571400000000002,16.0,put,107,0,2018-07-19 17:00:00
44,2.37,2.33,0.0,REGULAR,USO180720P00016500,USD,1532044800,0.500005,True,2.1,1531336830,16,0.0,16.5,put,19,0,2018-07-19 17:00:00
45,2.89,2.84,-0.2900002,REGULAR,USO180720P00017000,USD,1532044800,1.812500937499999,True,2.86,1532115161,279,-9.206355,17.0,put,1,0,2018-07-19 17:00:00
46,3.4,3.3,0.0,REGULAR,USO180720P00017500,USD,1532044800,0.500005,True,2.6,1531148004,65,0.0,17.5,put,121,0,2018-07-19 17:00:00
47,3.9,3.8,0.0,REGULAR,USO180720P00018000,USD,1532044800,1.000005,True,3.8,1531749116,1736,0.0,18.0,put,1,0,2018-07-19 17:00:00
48,4.4,4.3,0.0,REGULAR,USO180720P00018500,USD,1532044800,1.000005,True,3.65,1531145033,209,0.0,18.5,put,89,0,2018-07-19 17:00:00
